Sale,por_OS,por_NON,recc,avg_no_it,age,dis,diff_reg,tax,bk,lowstat,Median_s
0.63,18,2.31,0,6.575,65.2,4.09,1,296,396.9,4.98,24
2.73,0,7.07,0,6.421,78.9,4.9671,2,242,396.9,9.14,21.6
2.73,0,7.07,0,7.185,61.1,4.9671,2,242,392.83,4.03,34.7
3.24,0,2.18,0,6.998,45.8,6.0622,3,222,394.63,2.94,33.4
6.91,0,2.18,0,7.147,54.2,6.0622,3,222,396.9,5.33,36.2
2.99,0,2.18,0,6.43,58.7,6.0622,3,222,394.12,5.21,28.7
8.83,12.5,7.87,0,6.012,66.6,5.5605,5,311,395.6,12.43,22.9
14.46,12.5,7.87,0,6.172,96.1,5.9505,5,311,396.9,19.15,27.1
21.12,12.5,7.87,0,5.631,100,6.0821,5,311,386.63,29.93,16.5
17,12.5,7.87,0,6.004,85.9,6.5921,5,311,386.71,17.1,18.9
22.49,12.5,7.87,0,6.377,94.3,6.3467,5,311,392.52,20.45,15
11.75,12.5,7.87,0,6.009,82.9,6.2267,5,311,396.9,13.27,18.9
9.38,12.5,7.87,0,5.889,39,5.4509,5,311,390.5,15.71,21.7
62.98,0,8.14,0,5.949,61.8,4.7075,4,307,396.9,8.26,20.4
63.8,0,8.14,0,6.096,84.5,4.4619,4,307,380.02,10.26,18.2
62.74,0,8.14,0,5.834,56.5,4.4986,4,307,395.62,8.47,19.9
10.539,0,8.14,0,5.935,29.3,4.4986,4,307,386.85,6.58,23.1
78.42,0,8.14,0,5.99,81.7,4.2579,4,307,386.75,14.67,17.5
80.27,0,8.14,0,5.456,36.6,3.7965,4,307,288.99,11.69,20.2
72.58,0,8.14,0,5.727,69.5,3.7965,4,307,390.95,11.28,18.2
12.518,0,8.14,0,5.57,98.1,3.7979,4,307,376.57,21.02,13.6
85.2,0,8.14,0,5.965,89.2,4.0123,4,307,392.53,13.83,19.6
12.325,0,8.14,0,6.142,91.7,3.9769,4,307,396.9,18.72,15.2
98.84,0,8.14,0,5.813,100,4.0952,4,307,394.54,19.88,14.5
75.03,0,8.14,0,5.924,94.1,4.3996,4,307,394.33,16.3,15.6
84.05,0,8.14,0,5.599,85.7,4.4546,4,307,303.42,16.51,13.9
67.19,0,8.14,0,5.813,90.3,4.682,4,307,376.88,14.81,16.6
95.58,0,8.14,0,6.047,88.8,4.4534,4,307,306.38,17.28,14.8
77.3,0,8.14,0,6.495,94.4,4.4547,4,307,387.94,12.8,18.4
10.025,0,8.14,0,6.674,87.3,4.239,4,307,380.23,11.98,21
11.308,0,8.14,0,5.713,94.1,4.233,4,307,360.17,22.6,12.7
13.547,0,8.14,0,6.072,100,4.175,4,307,376.73,13.04,14.5
13.88,0,8.14,0,5.95,82,3.99,4,307,232.6,27.71,13.2
11.517,0,8.14,0,5.701,95,3.7872,4,307,358.77,18.35,13.1
16.128,0,8.14,0,6.096,96.9,3.7598,4,307,248.31,20.34,13.5
6.42,0,5.96,0,5.933,68.2,3.3603,5,279,396.9,9.68,18.9
9.74,0,5.96,0,5.841,61.4,3.3779,5,279,377.56,11.41,20
8.01,0,5.96,0,5.85,41.5,3.9342,5,279,396.9,8.77,21
17.51,0,5.96,0,5.966,30.2,3.8473,5,279,393.43,10.13,24.7
2.76,75,2.95,0,6.595,21.8,5.4011,3,252,395.63,4.32,30.8
3.36,75,2.95,0,7.024,15.8,5.4011,3,252,395.62,1.98,34.9
12.74,0,6.91,0,6.77,2.9,5.7209,3,233,385.41,4.84,26.6
14.15,0,6.91,0,6.169,6.6,5.7209,3,233,383.37,5.81,25.3
15.94,0,6.91,0,6.211,6.5,5.7209,3,233,394.46,7.44,24.7
12.27,0,6.91,0,6.069,40,5.7209,3,233,389.39,9.55,21.2
17.14,0,6.91,0,5.682,33.8,5.1004,3,233,396.9,10.21,19.3
18.84,0,6.91,0,5.786,33.3,5.1004,3,233,396.9,14.15,20
22.93,0,6.91,0,6.03,85.5,5.6894,3,233,392.74,18.8,16.6
25.39,0,6.91,0,5.399,95.3,5.87,3,233,396.9,30.81,14.4
21.98,0,6.91,0,5.602,62,6.0877,3,233,396.9,16.2,19.4
8.87,21,5.64,0,5.963,45.7,6.8147,4,243,395.56,13.45,19.7
4.34,21,5.64,0,6.115,63,6.8147,4,243,393.97,9.43,20.5
5.36,21,5.64,0,6.511,21.1,6.8147,4,243,396.9,5.28,25
4.98,21,5.64,0,5.998,21.4,6.8147,4,243,396.9,8.43,23.4
1.36,75,4,0,5.888,47.6,7.3197,3,469,396.9,14.8,18.9
1.31,90,1.22,0,7.249,21.9,8.6966,5,226,395.93,4.81,35.4
2.06,85,0.74,0,6.383,35.7,9.1876,2,313,396.9,5.77,24.7
1.43,100,1.32,0,6.816,40.5,8.3248,5,256,392.9,3.95,31.6
15.45,25,5.13,0,6.145,29.2,7.8148,8,284,390.68,6.86,23.3
10.33,25,5.13,0,5.927,47.2,6.932,8,284,396.9,9.22,19.6
14.93,25,5.13,0,5.741,66.2,7.2254,8,284,395.11,13.15,18.7
17.17,25,5.13,0,5.966,93.4,6.8185,8,284,378.08,14.44,16
11.03,25,5.13,0,6.456,67.8,7.2255,8,284,396.9,6.73,22.2
12.65,25,5.13,0,6.762,43.4,7.9809,8,284,395.58,9.5,25
1.95,17.5,1.38,0,7.104,59.5,9.2229,3,216,393.24,8.05,33
3.58,80,3.37,0,6.29,17.8,6.6115,4,337,396.9,4.67,23.5
4.38,80,3.37,0,5.787,31.1,6.6115,4,337,396.9,10.24,19.4
5.79,12.5,6.07,0,5.878,21.4,6.498,4,345,396.21,8.1,22
13.55,12.5,6.07,0,5.594,36.8,6.498,4,345,396.9,13.09,17.4
12.82,12.5,6.07,0,5.885,33,6.498,4,345,396.9,8.79,20.9
8.83,0,10.81,0,6.417,6.6,5.2873,4,305,383.73,6.72,24.2
15.88,0,10.81,0,5.961,17.5,5.2873,4,305,376.94,9.88,21.7
9.16,0,10.81,0,6.065,7.8,5.2873,4,305,390.91,5.52,22.8
19.54,0,10.81,0,6.245,6.2,5.2873,4,305,377.17,7.54,23.4
7.9,0,12.83,0,6.273,6,4.2515,5,398,394.92,6.78,24.1
9.51,0,12.83,0,6.286,45,4.5026,5,398,383.23,8.94,21.4
10.15,0,12.83,0,6.279,74.5,4.0522,5,398,373.66,11.97,20
8.71,0,12.83,0,6.14,45.8,4.0905,5,398,386.96,10.27,20.8
5.65,0,12.83,0,6.232,53.7,5.0141,5,398,386.4,12.34,21.2
8.39,0,12.83,0,5.874,36.6,4.5026,5,398,396.06,9.1,20.3
4.11,25,4.86,0,6.727,33.5,5.4007,4,281,396.9,5.29,28
4.46,25,4.86,0,6.619,70.4,5.4007,4,281,395.63,7.22,23.9
3.66,25,4.86,0,6.302,32.2,5.4007,4,281,396.9,6.72,24.8
3.55,25,4.86,0,6.167,46.7,5.4007,4,281,390.64,7.51,22.9
5.06,0,4.49,0,6.389,48,4.7794,3,247,396.9,9.62,23.9
5.74,0,4.49,0,6.63,56.1,4.4377,3,247,392.3,6.53,26.6
5.19,0,4.49,0,6.015,45.1,4.4272,3,247,395.99,12.86,22.5
7.15,0,4.49,0,6.121,56.8,3.7476,3,247,395.15,8.44,22.2
5.66,0,3.41,0,7.007,86.3,3.4217,2,270,396.9,5.5,23.6
5.3,0,3.41,0,7.079,63.1,3.4145,2,270,396.06,5.7,28.7
4.68,0,3.41,0,6.417,66.1,3.0923,2,270,392.18,8.81,22.6
3.93,0,3.41,0,6.405,73.9,3.0921,2,270,393.55,8.2,22
4.2,28,15.04,0,6.442,53.6,3.6659,4,270,395.01,8.16,22.9
2.88,28,15.04,0,6.211,28.9,3.6659,4,270,396.33,6.21,25
4.29,28,15.04,0,6.249,77.3,3.615,4,270,396.9,10.59,20.6
12.2,0,2.89,0,6.625,57.8,3.4952,2,276,357.98,6.65,28.4
11.5,0,2.89,0,6.163,69.6,3.4952,2,276,391.83,11.34,21.4
12.08,0,2.89,0,8.069,76,3.4952,2,276,396.9,4.21,38.7
8.19,0,2.89,0,7.82,36.9,3.4952,2,276,393.53,3.57,43.8
6.86,0,2.89,0,7.416,62.5,3.4952,2,276,396.9,6.19,33.2
14.87,0,8.56,0,6.727,79.9,2.7778,5,384,394.76,9.42,27.5
11.43,0,8.56,0,6.781,71.3,2.8561,5,384,395.58,7.67,26.5
22.88,0,8.56,0,6.405,85.4,2.7147,5,384,70.8,10.63,18.6
21.16,0,8.56,0,6.137,87.4,2.7147,5,384,394.47,13.44,19.3
13.96,0,8.56,0,6.167,90,2.421,5,384,392.69,12.33,20.1
13.26,0,8.56,0,5.851,96.7,2.1069,5,384,394.05,16.47,19.5
17.12,0,8.56,0,5.836,91.9,2.211,5,384,395.67,18.66,19.5
13.12,0,8.56,0,6.127,85.2,2.1224,5,384,387.69,14.09,20.4
12.8,0,8.56,0,6.474,97.1,2.4329,5,384,395.24,12.27,19.8
26.36,0,8.56,0,6.229,91.2,2.5451,5,384,391.23,15.55,19.4
10.79,0,8.56,0,6.195,54.4,2.7778,5,384,393.49,13,21.7
10.08,0,10.01,0,6.715,81.6,2.6775,6,432,395.59,10.16,22.8
12.33,0,10.01,0,5.913,92.9,2.3534,6,432,394.95,16.21,18.8
22.21,0,10.01,0,6.092,95.4,2.548,6,432,396.9,17.09,18.7
14.23,0,10.01,0,6.254,84.2,2.2565,6,432,388.74,10.45,18.5
17.13,0,10.01,0,5.928,88.2,2.4631,6,432,344.91,15.76,18.3
13.16,0,10.01,0,6.176,72.5,2.7301,6,432,393.3,12.04,21.2
15.1,0,10.01,0,6.021,82.6,2.7474,6,432,394.51,10.3,19.2
13.06,0,10.01,0,5.872,73.1,2.4775,6,432,338.63,15.37,20.4
14.48,0,10.01,0,5.731,65.2,2.7592,6,432,391.5,13.61,19.3
6.9,0,25.65,0,5.87,69.7,2.2577,2,188,389.15,14.37,22
7.17,0,25.65,0,6.004,84.1,2.1974,2,188,377.67,14.27,20.3
9.3,0,25.65,0,5.961,92.9,2.0869,2,188,378.09,17.93,20.5
15.04,0,25.65,0,5.856,97,1.9444,2,188,370.31,25.41,17.3
9.85,0,25.65,0,5.879,95.8,2.0063,2,188,379.38,17.58,18.8
16.9,0,25.65,0,5.986,88.4,1.9929,2,188,385.02,14.81,21.4
38.74,0,25.65,0,5.613,95.6,1.7572,2,188,359.29,27.26,15.7
25.92,0,21.89,0,5.693,96,1.7883,4,437,392.11,17.19,16.2
32.54,0,21.89,0,6.431,98.8,1.8125,4,437,396.9,15.39,18
88.13,0,21.89,0,5.637,94.7,1.9799,4,437,396.9,18.34,14.3
34.01,0,21.89,0,6.458,98.9,2.1185,4,437,395.04,12.6,19.2
11.929,0,21.89,0,6.326,97.7,2.271,4,437,396.9,12.26,19.6
59.01,0,21.89,0,6.372,97.9,2.3274,4,437,385.76,11.12,23
32.98,0,21.89,0,5.822,95.4,2.4699,4,437,388.69,15.03,18.4
97.62,0,21.89,0,5.757,98.4,2.346,4,437,262.76,17.31,15.6
55.78,0,21.89,0,6.335,98.2,2.1107,4,437,394.67,16.96,18.1
32.26,0,21.89,0,5.942,93.5,1.9669,4,437,378.25,16.9,17.4
35.23,0,21.89,0,6.454,98.4,1.8498,4,437,394.08,14.59,17.1
24.98,0,21.89,0,5.857,98.2,1.6686,4,437,392.04,21.32,13.3
54.45,0,21.89,0,6.151,97.9,1.6687,4,437,396.9,18.46,17.8
29.09,0,21.89,0,6.174,93.6,1.6119,4,437,388.08,24.16,14
16.286,0,21.89,0,5.019,100,1.4394,4,437,396.9,34.41,14.4
33.211,0,19.58,1,5.403,100,1.3216,5,403,396.9,26.82,13.4
40.974,0,19.58,0,5.468,100,1.4118,5,403,396.9,26.42,15.6
27.797,0,19.58,0,4.903,97.8,1.3459,5,403,396.9,29.29,11.8
23.793,0,19.58,0,6.13,100,1.4191,5,403,172.91,27.8,13.8
21.551,0,19.58,0,5.628,100,1.5166,5,403,169.27,16.65,15.6
23.686,0,19.58,0,4.926,95.7,1.4608,5,403,391.71,29.53,14.6
23.31,0,19.58,0,5.186,93.8,1.5296,5,403,356.99,28.32,17.8
27.34,0,19.58,0,5.597,94.9,1.5257,5,403,351.85,21.45,15.4
16.566,0,19.58,0,6.122,97.3,1.618,5,403,372.8,14.1,21.5
14.963,0,19.58,0,5.404,100,1.5916,5,403,341.6,13.28,19.6
11.266,0,19.58,1,5.012,88,1.6102,5,403,343.28,12.12,15.3
21.492,0,19.58,0,5.709,98.5,1.6232,5,403,261.95,15.79,19.4
14.139,0,19.58,1,6.129,96,1.7494,5,403,321.02,15.12,17
35.35,0,19.58,1,6.152,82.6,1.7455,5,403,88.01,15.02,15.6
24.467,0,19.58,0,5.272,94,1.7364,5,403,88.63,16.14,13.1
12.236,0,19.58,0,6.943,97.4,1.8773,5,403,363.43,4.59,41.3
13.428,0,19.58,0,6.066,100,1.7573,5,403,353.89,6.43,24.3
14.25,0,19.58,0,6.51,100,1.7659,5,403,364.31,7.39,23.3
12.735,0,19.58,1,6.25,92.6,1.7984,5,403,338.92,5.5,27
14.634,0,19.58,0,7.489,90.8,1.9709,5,403,374.43,1.73,50
18.338,0,19.58,1,7.802,98.2,2.0407,5,403,389.61,1.92,50
15.19,0,19.58,1,8.375,93.9,2.162,5,403,388.45,3.32,50
22.424,0,19.58,0,5.854,91.8,2.422,5,403,395.11,11.64,22.7
29.24,0,19.58,0,6.101,93,2.2834,5,403,240.16,9.81,25
20.102,0,19.58,0,7.929,96.2,2.0459,5,403,369.3,3.7,50
18.003,0,19.58,0,5.877,79.2,2.4259,5,403,227.61,12.14,23.8
23.004,0,19.58,0,6.319,96.1,2.1,5,403,297.09,11.1,23.8
24.495,0,19.58,0,6.402,95.2,2.2625,5,403,330.04,11.32,22.3
12.074,0,19.58,0,5.875,94.6,2.4259,5,403,292.29,14.43,17.4
23.139,0,19.58,0,5.88,97.3,2.3887,5,403,348.13,12.03,19.1
13.91,0,4.05,0,5.572,88.5,2.5961,5,296,396.9,14.69,23.1
9.18,0,4.05,0,6.416,84.1,2.6463,5,296,395.5,9.04,23.6
8.45,0,4.05,0,5.859,68.7,2.7019,5,296,393.23,9.64,22.6
6.66,0,4.05,0,6.546,33.1,3.1323,5,296,390.96,5.33,29.4
7.02,0,4.05,0,6.02,47.2,3.5549,5,296,393.23,10.11,23.2
5.43,0,4.05,0,6.315,73.4,3.3175,5,296,395.6,6.29,24.6
6.64,0,4.05,0,6.86,74.4,2.9153,5,296,391.27,6.92,29.9
5.78,0,2.46,0,6.98,58.4,2.829,3,193,396.9,5.04,37.2
6.59,0,2.46,0,7.765,83.3,2.741,3,193,395.56,7.56,39.8
6.89,0,2.46,0,6.144,62.2,2.5979,3,193,396.9,9.45,36.2
9.1,0,2.46,0,7.155,92.2,2.7006,3,193,394.12,4.82,37.9
10.01,0,2.46,0,6.563,95.6,2.847,3,193,396.9,5.68,32.5
8.31,0,2.46,0,5.604,89.8,2.9879,3,193,391,13.98,26.4
6.05,0,2.46,0,6.153,68.8,3.2797,3,193,387.11,13.15,29.6
5.6,0,2.46,0,7.831,53.6,3.1992,3,193,392.63,4.45,50
7.88,45,3.44,0,6.782,41.1,3.7886,5,398,393.87,6.68,32
12.58,45,3.44,0,6.556,29.1,4.5667,5,398,382.84,4.56,29.8
8.37,45,3.44,0,7.185,38.9,4.5667,5,398,396.9,5.39,34.9
9.07,45,3.44,0,6.951,21.5,6.4798,5,398,377.68,5.1,37
6.91,45,3.44,0,6.739,30.8,6.4798,5,398,389.71,4.69,30.5
8.66,45,3.44,0,7.178,26.3,6.4798,5,398,390.49,2.87,36.4
2.19,60,2.93,0,6.8,9.9,6.2196,1,265,393.37,5.03,31.1
1.44,60,2.93,0,6.604,18.8,6.2196,1,265,376.7,4.38,29.1
1.38,80,0.46,0,7.875,32,5.6484,4,255,394.23,2.97,50
4.01,80,1.52,0,7.287,34.1,7.309,2,329,396.9,4.08,33.3
4.67,80,1.52,0,7.107,36.6,7.309,2,329,354.31,8.61,30.3
3.77,80,1.52,0,7.274,38.3,7.309,2,329,392.2,6.62,34.6
3.15,95,1.47,0,6.975,15.3,7.6534,3,402,396.9,4.56,34.9
1.78,95,1.47,0,7.135,13.9,7.6534,3,402,384.3,4.45,32.9
3.45,82.5,2.03,0,6.162,38.4,6.27,2,348,393.77,7.43,24.1
2.18,82.5,2.03,0,7.61,15.7,6.27,2,348,395.38,3.11,42.3
3.51,95,2.68,0,7.853,33.2,5.118,4,224,392.78,3.81,48.5
2.01,95,2.68,0,8.034,31.9,5.118,4,224,390.55,2.88,50
13.64,0,10.59,0,5.891,22.3,3.9454,4,277,396.9,10.87,22.6
22.97,0,10.59,0,6.326,52.5,4.3549,4,277,394.87,10.97,24.4
25.2,0,10.59,0,5.783,72.7,4.3549,4,277,389.43,18.06,22.5
13.59,0,10.59,1,6.064,59.1,4.2392,4,277,381.32,14.66,24.4
43.57,0,10.59,1,5.344,100,3.875,4,277,396.9,23.09,20
17.45,0,10.59,1,5.96,92.1,3.8771,4,277,393.25,17.27,21.7
37.58,0,10.59,1,5.404,88.6,3.665,4,277,395.24,23.98,19.3
21.72,0,10.59,1,5.807,53.8,3.6526,4,277,390.94,16.03,22.4
14.05,0,10.59,0,6.375,32.3,3.9454,4,277,385.81,9.38,28.1
28.96,0,10.59,0,5.412,9.8,3.5875,4,277,348.93,29.55,23.7
19.8,0,10.59,0,6.182,42.4,3.9454,4,277,393.63,9.47,25
4.56,0,13.89,1,5.888,56,3.1121,5,276,392.8,13.51,23.3
7.01,0,13.89,0,6.642,85.1,3.4211,5,276,392.78,9.69,28.7
11.07,0,13.89,1,5.951,93.8,2.8893,5,276,396.9,17.92,21.5
11.43,0,13.89,1,6.373,92.4,3.3633,5,276,393.74,10.5,23
35.81,0,6.2,1,6.951,88.5,2.8617,8,307,391.7,9.71,26.7
40.77,0,6.2,1,6.164,91.3,3.048,8,307,395.24,21.46,21.7
62.36,0,6.2,1,6.879,77.7,3.2721,8,307,390.39,9.93,27.5
61.47,0,6.2,0,6.618,80.8,3.2721,8,307,396.9,7.6,30.1
31.53,0,6.2,0,8.266,78.3,2.8944,8,307,385.05,4.14,44.8
52.69,0,6.2,0,8.725,83,2.8944,8,307,382,4.63,50
38.21,0,6.2,0,8.04,86.5,3.2157,8,307,387.38,3.13,37.6
41.24,0,6.2,0,7.163,79.9,3.2157,8,307,372.08,6.36,31.6
29.82,0,6.2,0,7.686,17,3.3751,8,307,377.51,3.92,46.7
44.18,0,6.2,0,6.552,21.4,3.3751,8,307,380.34,3.76,31.5
53.7,0,6.2,0,5.981,68.1,3.6715,8,307,378.35,11.65,24.3
46.3,0,6.2,0,7.412,76.9,3.6715,8,307,376.14,5.25,31.7
57.53,0,6.2,0,8.337,73.3,3.8384,8,307,385.91,2.47,41.7
33.15,0,6.2,0,8.247,70.4,3.6519,8,307,378.95,3.95,48.3
44.79,0,6.2,1,6.726,66.5,3.6519,8,307,360.2,8.05,29
33.05,0,6.2,0,6.086,61.5,3.6519,8,307,376.75,10.88,24
52.06,0,6.2,1,6.631,76.5,4.148,8,307,388.45,9.54,25.1
51.18,0,6.2,0,7.358,71.6,4.148,8,307,390.07,4.73,31.5
8.24,30,4.93,0,6.481,18.5,6.1899,6,300,379.41,6.36,23.7
9.25,30,4.93,0,6.606,42.2,6.1899,6,300,383.78,7.37,23.3
11.33,30,4.93,0,6.897,54.3,6.3361,6,300,391.25,11.38,22
10.61,30,4.93,0,6.095,65.1,6.3361,6,300,394.62,12.4,20.1
10.29,30,4.93,0,6.358,52.9,7.0355,6,300,372.75,11.22,22.2
12.76,30,4.93,0,6.393,7.8,7.0355,6,300,374.71,5.19,23.7
20.61,22,5.86,0,5.593,76.5,7.9549,7,330,372.49,12.5,17.6
19.13,22,5.86,0,5.605,70.2,7.9549,7,330,389.13,18.46,18.5
33.98,22,5.86,0,6.108,34.9,8.0555,7,330,390.18,9.16,24.3
19.66,22,5.86,0,6.226,79.2,8.0555,7,330,376.14,10.15,20.5
16.44,22,5.86,0,6.433,49.1,7.8265,7,330,374.71,9.52,24.5
19.07,22,5.86,0,6.718,17.5,7.8265,7,330,393.74,6.56,26.2
14.03,22,5.86,0,6.487,13,7.3967,7,330,396.28,5.9,24.4
21.41,22,5.86,0,6.438,8.9,7.3967,7,330,377.07,3.59,24.8
8.22,22,5.86,0,6.957,6.8,8.9067,7,330,386.09,3.53,29.6
